"id","min_datetime","max_datetime","variable","n_obs","n","mean","median","min","q01","q25","q75","q99","max"
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"ODO_percent",172829,170270,97.3324,97.5,72.54,75.11,93.6,101,130,149.2
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"ODO_percent",206389,202452,90.3911,92,5.21,5.58,77.76,99.7,188.749,292.9
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel",114323,111449,117.649,104.23,0,17.32,88.07,139.99,236.12,260.76
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel",172829,162925,73.1743,51.53,0,8.34,32.01,113.45,227.29,284.96
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel",206389,201979,91.55,81.05,0,7.14,64.99,108.71,239.5,276.38
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel_turb",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel_turb",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel_turb",114323,111794,136.924,129.388,0,18.5332,111.83,154.481,255.327,281.643
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel_turb",172829,163125,120.08,82.1244,0,13.4027,63.9164,140.514,1190.77,1479.59
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel_turb",206389,202562,119.001,113.366,0,8.04445,94.4309,138.423,293.587,339.488
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Ref_Fuel_wt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Ref_Fuel_wt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Ref_Fuel_wt",114323,111794,106.358,93.8674,0,15.574,78.4152,127.288,219.591,242.498
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Ref_Fuel_wt",172829,163125,64.8254,46.0719,0,7.44945,28.4648,99.4561,203.815,256.487
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Ref_Fuel_wt",206389,202562,90.9497,81.9893,0,6.9413,65.6403,108.69,230.45,266.591
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Temp_C6P",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Temp_C6P",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Temp_C6P",114323,111794,12.2781,12.41,8.15,8.29,10.92,13.45,16.88,18.42
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Temp_C6P",172829,163123,10.3149,9.84,4.76,6.48,9.15,11.58,14.69,17.14
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Temp_C6P",206389,202562,24.8629,25.59,20.01,20.16,22.32,26.85,28.32,29.99
